-0.4336,-0.9421
0.2045,-0.4108
-0.3156,0.3255
-0.3589,0.4418
1.0767,0.0305
-0.4527,-0.1577
0.7522,-0.7123
0.9692,-0.2972
-0.4643,0.1954
0.9470,0.0633
-0.8738,-0.4833
-0.9745,-0.1328
0.1597,0.4642
0.4526,0.1345
0.9748,-0.2030
-0.2543,-1.0074
-0.7160,-0.6704
-1.0174,-0.1651
0.3894,-0.3675
-0.6360,-0.6967
0.8997,0.5917
-1.0394,-0.1007
-0.4950,-0.1568
0.8634,0.5513
0.7990,-0.6157
-0.1474,0.5410
0.2729,0.4571
-0.3413,0.2942
0.0004,0.4804
0.8094,-0.7148
-0.0121,0.5287
0.4860,-0.7902
0.3552,0.2694
0.8739,0.5363
-0.3048,0.9434
-0.2810,-0.3848
0.8334,0.5658
0.1411,-1.0066
0.0689,0.5592
0.3828,-0.9643
0.8149,-0.5457
-0.3830,0.3711
-1.0063,0.4438
0.3472,-0.1777
0.5234,0.0532
0.5054,0.0248
-0.5500,0.0923
-0.0737,0.4592
0.1833,0.4467
-0.6152,0.8679
-0.0582,1.0488
0.0724,-0.9810
-0.7653,-0.6671
0.4728,0.1267
0.1715,-0.4152
-0.3600,0.3410
-1.0773,0.0620
-0.6650,0.6882
0.9286,-0.2086
0.1795,-0.5265
-0.3404,-0.4738
0.3975,-0.4244
-0.4954,-0.9376
-0.4687,-0.2169
-0.9461,0.1271
-1.0205,-0.3310
0.2230,0.4401
-0.2969,-0.9886
-0.4777,0.0940
-0.2434,0.3597
-1.0017,0.1971
-0.5691,-0.2913
0.1211,-0.4497
-0.4728,0.1381
0.2854,0.1307
0.0161,-0.5959
0.2145,0.4380
-0.8113,0.5734
-0.7445,0.6321
-0.3720,0.4765
-0.4715,-0.1263
0.9572,0.3704
0.2268,0.4190
0.9853,0.1677
0.2676,0.3268
0.4629,0.2204
1.0318,0.0872
-0.2751,-0.4429
0.0399,0.9977
-0.4572,0.1562
0.2466,0.4459
-0.8699,-0.4602
0.8977,0.4892
-1.0048,0.0797
0.5942,-0.7949
0.5787,-0.7823
-0.4965,-0.0071
0.9901,-0.2300
0.1299,1.0100
-0.9385,0.0279
0.3957,0.2054
0.0191,1.0057
0.5854,0.0536
0.3502,0.3975
-0.2189,-1.0558
-0.0611,-0.4962
0.6991,-0.8026
-0.1969,0.9619
-1.0293,0.3305
0.2781,-0.5553
0.9347,-0.4228
-0.1856,0.5152
0.3178,0.9338
0.1517,0.5274
0.3007,0.9262
-0.4589,-0.1697
0.3932,0.4016
-0.4659,-0.0426
-0.0631,-0.5462
0.5670,0.2722
0.4528,-0.1224
0.7471,-0.6834
0.1778,-0.3680
-0.2402,0.4966
-0.0807,-1.0205
-0.9144,0.4145
0.2483,-0.2539
0.6795,-0.7524
-1.0394,0.1610
-0.9887,0.0043
0.3923,-0.2707
-0.3433,0.9424
-0.4757,-0.1649
0.2357,0.9438
-0.0226,-0.9705
0.6325,0.7928
-0.4704,0.0387
0.5087,-0.0976
-1.0193,-0.3153
0.9782,0.3304
-0.1578,0.3630
0.5097,0.2285
-0.8906,0.0010
0.8599,0.5446
-0.6891,0.7570
-0.2187,0.4600
-0.6640,0.7317
0.1135,0.9690
0.7001,0.7309
0.4433,-0.1773
-0.8398,-0.5248
0.9173,0.4190
-0.3811,0.4540
-0.5932,0.8278
1.0776,-0.0096
-0.4275,0.2175
0.4795,0.8288
0.0709,0.5362
0.3526,0.3790
-0.4383,0.0315
0.0628,-0.4826
-0.5456,0.0206
0.7832,-0.6961
-0.1005,-0.9258
-0.5154,0.0604
-0.0325,-0.4644
-0.0323,-0.3289
-0.1669,-0.4648
-0.7410,-0.5500
-0.3543,-0.2443
-0.4509,-0.8118
0.3584,0.3652
-0.8116,0.5808
0.3437,-0.9081
-0.4146,0.9463
-0.1801,-1.0221
0.4523,0.0708
0.4292,-0.2984
0.9757,-0.3879
0.3410,0.2445
-0.6022,-0.7687
-0.1869,-0.4389
0.4154,0.3004
0.0123,0.5541
0.7569,-0.7834
-0.4692,0.0775
0.8916,-0.5767
0.7964,0.5675
-0.4465,0.8743
0.8220,0.6537
0.4213,0.1926
-0.2927,1.0283
-0.3809,-0.2793
-0.0091,-0.9089
-0.6219,-0.0639
-0.0336,0.4742
-0.3030,0.4066
0.4555,-0.8489
-0.2233,1.0058
0.1010,0.5067
